Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
9	J. Xu	Deep Reinforcement Learning for RIS-Aided Secure Mobile Edge Computing in Industrial Internet of Things	2024	IEEE Transactions on Industrial Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165270262&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165270262&origin=inward	119	11/28/2024 19:10	Article	10.1109/TII.2023.3292968	1551-3203	https://api.elsevier.com/content/abstract/scopus_id/85165270262	20	2	2455	2464	9	9	9	1	1			
9	A. Souri	A Trust-Aware and Authentication-Based Collaborative Method for Resource Management of Cloud-Edge Computing in Social Internet of Things	2024	IEEE Transactions on Computational Social Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148473951&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148473951&origin=inward	120	11/28/2024 19:10	Article	10.1109/TCSS.2023.3241020	2329-924X	https://api.elsevier.com/content/abstract/scopus_id/85148473951	11	4	4899	4908	9	9	9	1	1			
8	F. Fuentes-Peñailillo	"Transformative Technologies in Digital Agriculture: Leveraging Internet of Things, Remote Sensing, and Artificial Intelligence for Smart Crop Management"	2024	Journal of Sensor and Actuator Networks		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201387226&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201387226&origin=inward	121	11/28/2024 19:10	Review	10.3390/jsan13040039	2224-2708	https://api.elsevier.com/content/abstract/scopus_id/85201387226	13	4			8	8	8	1	1			
8	Y. Liao	Optimization of resources in intelligent electronic health systems based on internet of things to predict heart diseases via artificial neural network	2024	Heliyon		https://api.elsevier.com/content/article/eid/1-s2.0-S2405844024081210	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195090802&origin=inward	122	11/28/2024 19:10	Article	10.1016/j.heliyon.2024.e32090	2405-8440	https://api.elsevier.com/content/abstract/scopus_id/85195090802	10	11			8	8	8	1	1			
8	K. Moghaddasi	An advanced deep reinforcement learning algorithm for three-layer D2D-edge-cloud computing architecture for efficient task offloading in the Internet of Things	2024	Sustainable Computing: Informatics and Systems		https://api.elsevier.com/content/article/eid/1-s2.0-S2210537924000374	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192685663&origin=inward	123	11/28/2024 19:10	Article	10.1016/j.suscom.2024.100992	2210-5379	https://api.elsevier.com/content/abstract/scopus_id/85192685663	43				8	8	8	1	1			
8	W. Shafik	"Blockchain-Based Internet of Things (B-IoT): Challenges, Solutions, Opportunities, Open Research Questions, and Future Trends"	2024	"Blockchain-based Internet of Things: Opportunities, Challenges and Solutions"		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192290723&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192290723&origin=inward	124	11/28/2024 19:10	Book Chapter	10.1201/9781003407096-3		https://api.elsevier.com/content/abstract/scopus_id/85192290723			35	58	8	8	8	1	1			
8	R. Hajlaoui	Towards smarter cyberthreats detection model for industrial internet of things (IIoT) 4.0	2024	Journal of Industrial Information Integration		https://api.elsevier.com/content/article/eid/1-s2.0-S2452414X24000396	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189652375&origin=inward	125	11/28/2024 19:10	Article	10.1016/j.jii.2024.100595	2452-414X	https://api.elsevier.com/content/abstract/scopus_id/85189652375	39				8	8	8	1	1			
8	R.M. Babu	A HYBRID MODEL USING GENETIC ALGORITHM FOR ENERGY OPTIMIZATION IN HETEROGENEOUS INTERNET OF BLOCKCHAIN THINGS	2024	Telecommunications and Radio Engineering (English translation of Elektrosvyaz and Radiotekhnika)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189331605&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189331605&origin=inward	126	11/28/2024 19:10	Article	10.1615/TelecomRadEng.2023050237	0040-2508	https://api.elsevier.com/content/abstract/scopus_id/85189331605	83	3	1	16	8	8	8	1	1			
8	S. Giannakidou	"Leveraging the power of internet of things and artificial intelligence in forest fire prevention, detection, and restoration: A comprehensive survey"	2024	Internet of Things (Netherlands)		https://api.elsevier.com/content/article/eid/1-s2.0-S2542660524001124	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188945975&origin=inward	127	11/28/2024 19:10	Review	10.1016/j.iot.2024.101171	2542-6605	https://api.elsevier.com/content/abstract/scopus_id/85188945975	26				8	8	8	1	1			
8	Hemani	Designing blockchain based secure autonomous vehicular internet of things (IoT) architecture with efficient smart contracts	2024	International Journal of Information Technology (Singapore)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184242860&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184242860&origin=inward	128	11/28/2024 19:10	Article	10.1007/s41870-023-01712-x	2511-2104	https://api.elsevier.com/content/abstract/scopus_id/85184242860					8	8	8	1	1			
8	A.H.M. Aman	"A review of residential blockchain internet of things energy systems: Resources, storage and challenges"	2024	Energy Reports		https://api.elsevier.com/content/article/eid/1-s2.0-S2352484723016566	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183687538&origin=inward	129	11/28/2024 19:10	Review	10.1016/j.egyr.2023.12.062	2352-4847	https://api.elsevier.com/content/abstract/scopus_id/85183687538	11		1225	1241	8	8	8	1	1			
8	H.M. Kamdjou	Resource-Constrained EXtended Reality Operated with Digital Twin in Industrial Internet of Things	2024	IEEE Open Journal of the Communications Society		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182923019&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182923019&origin=inward	130	11/28/2024 19:10	Article	10.1109/OJCOMS.2024.3356508	2644-125X	https://api.elsevier.com/content/abstract/scopus_id/85182923019	5		928	950	8	8	8	1	1			
8	P. Qin	Energy-Efficient Resource Allocation for Space-Air-Ground Integrated Industrial Power Internet of Things Network	2024	IEEE Transactions on Industrial Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179067193&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179067193&origin=inward	131	11/28/2024 19:10	Article	10.1109/TII.2023.3331127	1551-3203	https://api.elsevier.com/content/abstract/scopus_id/85179067193	20	4	5274	5284	8	8	8	1	1			
8	A.D.A. Bin Abu Sofian	Towards a Sustainable Circular Economy: Algae-Based Bioplastics and the Role of Internet-of-Things and Machine Learning	2024	ChemBioEng Reviews		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85175632726&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175632726&origin=inward	132	11/28/2024 19:10	Review	10.1002/cben.202300028	2196-9744	https://api.elsevier.com/content/abstract/scopus_id/85175632726	11	1	39	59	8	8	8	1	1			
8	S. Zhou	Robust Risk-Sensitive Task Offloading for Edge-Enabled Industrial Internet of Things	2024	IEEE Transactions on Consumer Electronics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174821641&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174821641&origin=inward	133	11/28/2024 19:10	Article	10.1109/TCE.2023.3323146	0098-3063	https://api.elsevier.com/content/abstract/scopus_id/85174821641	70	1	1403	1413	8	8	8	1	1			
8	L. Ni	rFedFW: Secure and trustable aggregation scheme for Byzantine-robust federated learning in Internet of Things	2024	Information Sciences		https://api.elsevier.com/content/article/eid/1-s2.0-S0020025523013695	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174629969&origin=inward	134	11/28/2024 19:10	Article	10.1016/j.ins.2023.119784	0020-0255	https://api.elsevier.com/content/abstract/scopus_id/85174629969	653				8	8	8	1	1			
8	R.Y. Patil	A secure privacy preserving and access control scheme for medical internet of things (MIoT) using attribute-based signcryption	2024	International Journal of Information Technology (Singapore)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174611387&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174611387&origin=inward	135	11/28/2024 19:10	Article	10.1007/s41870-023-01569-0	2511-2104	https://api.elsevier.com/content/abstract/scopus_id/85174611387	16	1	181	191	8	8	8	1	1			
8	H.X. Hu	A Real-Time Bearing Fault Diagnosis Model Based on Siamese Convolutional Autoencoder in Industrial Internet of Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168750326&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168750326&origin=inward	136	11/28/2024 19:10	Article	10.1109/JIOT.2023.3307127	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85168750326	11	3	3820	3831	8	8	8	1	1			
8	R. Lin	Physical-Layer Security Enhancement in Energy-Harvesting-Based Cognitive Internet of Things: A GAN-Powered Deep Reinforcement Learning Approach	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166760743&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85166760743&origin=inward	137	11/28/2024 19:10	Article	10.1109/JIOT.2023.3300770	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85166760743	11	3	4899	4913	8	8	8	1	1			
8	S. Dhal	Internet of Things (IoT) in digital agriculture: An overview	2024	Agronomy Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163141919&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163141919&origin=inward	138	11/28/2024 19:10	Article	10.1002/agj2.21385	0002-1962	https://api.elsevier.com/content/abstract/scopus_id/85163141919	116	3	1144	1163	8	8	8	1	1			
8	R. Yang	Practical Feature Inference Attack in Vertical Federated Learning During Prediction in Artificial Internet of Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85162864631&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162864631&origin=inward	139	11/28/2024 19:10	Article	10.1109/JIOT.2023.3275161	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85162864631	11	1	5	16	8	8	8	1	1			
8	F. Wang	Blockchain-Based Lightweight Message Authentication for Edge-Assisted Cross-Domain Industrial Internet of Things	2024	IEEE Transactions on Dependable and Secure Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85162638385&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162638385&origin=inward	140	11/28/2024 19:10	Article	10.1109/TDSC.2023.3285800	1545-5971	https://api.elsevier.com/content/abstract/scopus_id/85162638385	21	4	1587	1604	8	8	8	1	1			
8	X. Xie	Scheduling for Minimizing the Age of Information in Multisensor Multiserver Industrial Internet of Things Systems	2024	IEEE Transactions on Industrial Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85153795201&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85153795201&origin=inward	141	11/28/2024 19:10	Article	10.1109/TII.2023.3268749	1551-3203	https://api.elsevier.com/content/abstract/scopus_id/85153795201	20	1	573	582	8	8	8	1	1			
8	M. Gao	A comprehensive analysis for crowd counting methodologies and algorithms in Internet of Things	2024	Cluster Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149500395&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149500395&origin=inward	142	11/28/2024 19:10	Article	10.1007/s10586-023-03987-y	1386-7857	https://api.elsevier.com/content/abstract/scopus_id/85149500395	27	1	859	873	8	8	8	1	1			
7	B. Abdallah	Improving the Reliability of Long-Range Communication against Interference for Non-Line-of-Sight Conditions in Industrial Internet of Things Applications	2024	Applied Sciences (Switzerland)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192488468&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192488468&origin=inward	143	11/28/2024 19:10	Article	10.3390/app14020868	2076-3417	https://api.elsevier.com/content/abstract/scopus_id/85192488468	14	2			7	7	7	1	1			
7	M.K. Hasan	A Survey on Key Agreement and Authentication Protocol for Internet of Things Application	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191804837&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191804837&origin=inward	144	11/28/2024 19:10	Article	10.1109/ACCESS.2024.3393567	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85191804837	12		61642	61666	7	7	7	1	1			
7	A.S. Borkowski	"Low-Cost Internet of Things Solution for Building Information Modeling Level 3B—Monitoring, Analysis and Management"	2024	Journal of Sensor and Actuator Networks		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191408405&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191408405&origin=inward	145	11/28/2024 19:10	Article	10.3390/jsan13020019	2224-2708	https://api.elsevier.com/content/abstract/scopus_id/85191408405	13	2			7	7	7	1	1			
7	I.A. Shah	Drone technology in the context of the internet of things	2024	Cybersecurity Issues and Challenges in the Drone Industry		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191253986&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191253986&origin=inward	146	11/28/2024 19:10	Book Chapter	10.4018/979-8-3693-0774-8.ch004		https://api.elsevier.com/content/abstract/scopus_id/85191253986			88	107	7	7	7	1	1			
7	D. Dhinakaran	QUANTUM-BASED PRIVACY-PRESERVING TECHNIQUES FOR SECURE AND TRUSTWORTHY INTERNET OF MEDICAL THINGS: AN EXTENSIVE ANALYSIS	2024	Quantum Information and Computation		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188958473&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188958473&origin=inward	147	11/28/2024 19:10	Article	10.26421/QIC24.3-4-3	1533-7146	https://api.elsevier.com/content/abstract/scopus_id/85188958473	24	3	227	266	7	7	7	1	1			
7	M. Casillo	Integrating the Internet of Things (IoT) in SPA Medicine: Innovations and Challenges in Digital Wellness	2024	Computers		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188666288&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188666288&origin=inward	148	11/28/2024 19:10	Article	10.3390/computers13030067	2073-431X	https://api.elsevier.com/content/abstract/scopus_id/85188666288	13	3			7	7	7	1	1			
7	K.M. Abubeker	Internet of Things enabled open source assisted real-time blood glucose monitoring framework	2024	Scientific Reports		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187905733&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187905733&origin=inward	149	11/28/2024 19:10	Article	10.1038/s41598-024-56677-z	2045-2322	https://api.elsevier.com/content/abstract/scopus_id/85187905733	14	1			7	7	7	1	1			
7	I. Hussain	"Secure, Sustainable Smart Cities and the Internet of Things: Perspectives, Challenges, and Future Directions"	2024	Sustainability (Switzerland)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187268624&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187268624&origin=inward	150	11/28/2024 19:10	Editorial	10.3390/su16041390	2071-1050	https://api.elsevier.com/content/abstract/scopus_id/85187268624	16	4			7	7	7	1	1			
7	M. Adil	"Healthcare Internet of Things: Security Threats, Challenges, and Future Research Directions"	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187251366&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187251366&origin=inward	151	11/28/2024 19:10	Article	10.1109/JIOT.2024.3360289	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85187251366	11	11	19046	19069	7	7	7	1	1			
7	W.A. Awan	Intelligent metasurface based antenna with pattern and beam reconfigurability for internet of things applications	2024	Alexandria Engineering Journal		https://api.elsevier.com/content/article/eid/1-s2.0-S1110016824001741	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186361186&origin=inward	152	11/28/2024 19:10	Article	10.1016/j.aej.2024.02.034	1110-0168	https://api.elsevier.com/content/abstract/scopus_id/85186361186	92		50	62	7	7	7	1	1			
7	M.A. Al-Shareeda	"Software defined networking for internet of things: review, techniques, challenges, and future directions"	2024	Bulletin of Electrical Engineering and Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186191125&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186191125&origin=inward	153	11/28/2024 19:10	Article	10.11591/eei.v13i1.6386	2089-3191	https://api.elsevier.com/content/abstract/scopus_id/85186191125	13	1	638	647	7	7	7	1	1			
7	A. Khelloufi	A Multimodal Latent-Features-Based Service Recommendation System for the Social Internet of Things	2024	IEEE Transactions on Computational Social Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186091005&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186091005&origin=inward	154	11/28/2024 19:10	Article	10.1109/TCSS.2024.3360518	2329-924X	https://api.elsevier.com/content/abstract/scopus_id/85186091005	11	4	5388	5403	7	7	7	1	1			
7	Z. Chen	Parallel Channel Estimation for RIS-Assisted Internet of Things	2024	IEEE Transactions on Intelligent Transportation Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186065125&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186065125&origin=inward	155	11/28/2024 19:10	Article	10.1109/TITS.2024.3364248	1524-9050	https://api.elsevier.com/content/abstract/scopus_id/85186065125	25	8	9762	9773	7	7	7	1	1			
7	M. Humayun	Securing the Internet of Things in Artificial Intelligence Era: A Comprehensive Survey	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186061566&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186061566&origin=inward	156	11/28/2024 19:10	Article	10.1109/ACCESS.2024.3365634	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85186061566	12		25469	25490	7	7	7	1	1			
7	X. Wang	Towards a crop pest control system based on the Internet of Things and fuzzy logic	2024	Telecommunication Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185968358&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185968358&origin=inward	157	11/28/2024 19:10	Article	10.1007/s11235-024-01106-9	1018-4864	https://api.elsevier.com/content/abstract/scopus_id/85185968358	85	4	665	677	7	7	7	1	1			
7	X. Xiang	Blockchain enabled dynamic trust management method for the internet of medical things	2024	Decision Support Systems		https://api.elsevier.com/content/article/eid/1-s2.0-S0167923624000174	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185532475&origin=inward	158	11/28/2024 19:10	Article	10.1016/j.dss.2024.114184	0167-9236	https://api.elsevier.com/content/abstract/scopus_id/85185532475	180				7	7	7	1	1			
7	S. Bhimshetty	Energy-efficient deep Q-network: reinforcement learning for efficient routing protocol in wireless internet of things	2024	Indonesian Journal of Electrical Engineering and Computer Science		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184586913&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184586913&origin=inward	159	11/28/2024 19:10	Article	10.11591/ijeecs.v33.i2.pp971-980	2502-4752	https://api.elsevier.com/content/abstract/scopus_id/85184586913	33	2	971	980	7	7	7	1	1			
7	L. Nkenyereye	Internet of Underwater Things: A Survey on Simulation Tools and 5G-Based Underwater Networks	2024	Electronics (Switzerland)		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184511434&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184511434&origin=inward	160	11/28/2024 19:10	Review	10.3390/electronics13030474	2079-9292	https://api.elsevier.com/content/abstract/scopus_id/85184511434	13	3			7	7	7	1	1			
7	M. Tanveer	LEAF-IIoT: Lightweight and Efficient Authentication Framework for the Industrial Internet of Things	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183979790&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183979790&origin=inward	161	11/28/2024 19:10	Article	10.1109/ACCESS.2024.3357090	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85183979790	12		31771	31787	7	7	7	1	1			
7	A. Hussain	Human centric attention with deep multiscale feature fusion framework for activity recognition in Internet of Medical Things	2024	Information Fusion		https://api.elsevier.com/content/article/eid/1-s2.0-S1566253523005274	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183112793&origin=inward	162	11/28/2024 19:10	Article	10.1016/j.inffus.2023.102211	1566-2535	https://api.elsevier.com/content/abstract/scopus_id/85183112793	106				7	7	7	1	1			
7	Y.P. Tsang	On-Chain and Off-Chain Data Management for Blockchain-Internet of Things: A Multi-Agent Deep Reinforcement Learning Approach	2024	Journal of Grid Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182679712&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182679712&origin=inward	163	11/28/2024 19:10	Article	10.1007/s10723-023-09739-x	1570-7873	https://api.elsevier.com/content/abstract/scopus_id/85182679712	22	1			7	7	7	1	1			
7	L.A. Maghrabi	Enhancing Cybersecurity in the Internet of Things Environment Using Bald Eagle Search Optimization With Hybrid Deep Learning	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182357108&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182357108&origin=inward	164	11/28/2024 19:10	Article	10.1109/ACCESS.2024.3352568	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85182357108	12		8337	8345	7	7	7	1	1			
7	S. Kaleem	A hybrid model for energy-efficient Green Internet of Things enabled intelligent transportation systems using federated learning	2024	Internet of Things (Netherlands)		https://api.elsevier.com/content/article/eid/1-s2.0-S254266052300361X	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181828523&origin=inward	165	11/28/2024 19:10	Article	10.1016/j.iot.2023.101038	2542-6605	https://api.elsevier.com/content/abstract/scopus_id/85181828523	25				7	7	7	1	1			
7	N. Mishra	A survey on security and cryptographic perspective of Industrial-Internet-of-Things	2024	Internet of Things (Netherlands)		https://api.elsevier.com/content/article/eid/1-s2.0-S2542660523003608	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181099537&origin=inward	166	11/28/2024 19:10	Review	10.1016/j.iot.2023.101037	2542-6605	https://api.elsevier.com/content/abstract/scopus_id/85181099537	25				7	7	7	1	1			
7	M. Sayeduzzaman	An Internet of Things-Integrated Home Automation with Smart Security System	2024	Automated Secure Computing for Next-Generation Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180032337&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180032337&origin=inward	167	11/28/2024 19:10	Book Chapter			https://api.elsevier.com/content/abstract/scopus_id/85180032337			243	273	7	7	7	1	1			
7	N.A. Ugochukwu	Enhancing Logistics With the Internet of Things: A Secured and Efficient Distribution and Storage Model Utilizing Blockchain Innovations and Interplanetary File System	2024	IEEE Access		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179795783&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179795783&origin=inward	168	11/28/2024 19:10	Article	10.1109/ACCESS.2023.3339754	2169-3536	https://api.elsevier.com/content/abstract/scopus_id/85179795783	12		4139	4152	7	7	7	1	1			
7	K. Pramilarani	Cost based Random Forest Classifier for Intrusion Detection System in Internet of Things	2024	Applied Soft Computing		https://api.elsevier.com/content/article/eid/1-s2.0-S1568494623011432	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179126504&origin=inward	169	11/28/2024 19:10	Article	10.1016/j.asoc.2023.111125	1568-4946	https://api.elsevier.com/content/abstract/scopus_id/85179126504	151				7	7	7	1	1			
7	R. Krishankumar	Selection of a viable blockchain service provider for data management within the internet of medical things: An MCDM approach to Indian healthcare	2024	Information Sciences		https://api.elsevier.com/content/article/eid/1-s2.0-S0020025523014755	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85178395774&origin=inward	170	11/28/2024 19:10	Article	10.1016/j.ins.2023.119890	0020-0255	https://api.elsevier.com/content/abstract/scopus_id/85178395774	657				7	7	7	1	1			
7	G. Liu	Fractional Optimal Control for Malware Propagation in Internet of Underwater Things	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177084319&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177084319&origin=inward	171	11/28/2024 19:10	Article	10.1109/JIOT.2023.3331736	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85177084319	11	7	11632	11651	7	7	7	1	1			
7	F. Jin	Deep Learning-Enhanced Internet of Things for Activity Recognition in Post-Stroke Rehabilitation	2024	IEEE Journal of Biomedical and Health Informatics		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177078032&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177078032&origin=inward	172	11/28/2024 19:10	Article	10.1109/JBHI.2023.3332735	2168-2194	https://api.elsevier.com/content/abstract/scopus_id/85177078032	28	7	3851	3859	7	7	7	1	1			
7	D.C. Nath	Internet of Things integrated with solar energy applications: a state-of-the-art review	2024	"Environment, Development and Sustainability"		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174005600&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174005600&origin=inward	173	11/28/2024 19:10	Review	10.1007/s10668-023-03691-2	1387-585X	https://api.elsevier.com/content/abstract/scopus_id/85174005600	26	10	24597	24652	7	7	7	1	1			
7	S. Singh	Prediction of Heart Disease Using Deep Learning and Internet of Medical Things	2024	International Journal of Intelligent Systems and Applications in Engineering		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173684817&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85173684817&origin=inward	174	11/28/2024 19:10	Article		2147-6799	https://api.elsevier.com/content/abstract/scopus_id/85173684817	12	1	512	525	7	7	7	1	1			
7	I. Ahmed	An Internet of Things and AI-Powered Framework for Long-Term Flood Risk Evaluation	2024	IEEE Internet of Things Journal		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168681739&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168681739&origin=inward	175	11/28/2024 19:10	Article	10.1109/JIOT.2023.3308564	2327-4662	https://api.elsevier.com/content/abstract/scopus_id/85168681739	11	3	3812	3819	7	7	7	1	1			
